OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
17-3031,Surveying and Mapping Technicians,detailed,"47,950",20.93,"43,540",11.99,15.23,19.55,25.62,32.1,"24,950","31,680","40,670","53,280","66,770",54,61.3,13.5,High school diploma or equivalent,None,"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering
19-1011,Animal Scientists,detailed,"2,320",35.06,"72,930",17.49,21.57,30.89,43.79,59.46,"36,370","44,860","64,260","91,080","123,670",2.7,3,8.8,Doctoral or professional degree,None,Life Scientists,Science
19-1012,Food Scientists and Technologists,detailed,"15,010",31.41,"65,340",16.71,21.42,28.67,38.72,51.62,"34,770","44,560","59,630","80,540","107,370",19.4,21.5,10.8,Bachelor's degree,None,Life Scientists,Science
19-1013,Soil and Plant Scientists,detailed,"13,160",30.21,"62,830",16.4,21.36,28.36,36.35,46.14,"34,120","44,420","58,990","75,620","95,970",16.3,17.6,7.5,Bachelor's degree,None,Life Scientists,Science
19-1021,Biochemists and Biophysicists,detailed,"29,110",44.06,"91,640",20.51,27.75,40.54,54.8,71.05,"42,660","57,720","84,320","113,980","147,780",29.2,34.6,18.6,Doctoral or professional degree,None,Life Scientists,Science
19-1022,Microbiologists,detailed,"19,880",36.17,"75,230",18.66,23.8,32.61,45.66,58.2,"38,820","49,490","67,840","94,970","121,060",20.1,21.6,7,Bachelor's degree,None,Life Scientists,Science
19-1023,Zoologists and Wildlife Biologists,detailed,"18,530",30.1,"62,610",17.86,22.04,27.61,35,45.89,"37,150","45,850","57,430","72,810","95,460",20.1,21.1,4.9,Bachelor's degree,None,Life Scientists,Science
19-1029,"Biological Scientists, All Other",detailed,"33,100",36.14,"75,160",18.96,26.3,34.96,41.95,53.29,"39,440","54,710","72,720","87,260","110,850",34.3,34.1,-0.6,Bachelor's degree,None,Life Scientists,Science
19-1031,Conservation Scientists,detailed,"18,590",30.45,"63,330",17.82,22.7,29.43,36.02,43.62,"37,070","47,230","61,220","74,930","90,740",22.1,22.3,0.5,Bachelor's degree,None,Life Scientists,Science
19-1032,Foresters,detailed,"9,220",28.37,"59,000",17.86,21.98,27.46,33.52,40.08,"37,160","45,710","57,110","69,720","83,370",12,12.8,6.1,Bachelor's degree,None,Life Scientists,Science
19-1041,Epidemiologists,detailed,"5,350",35.11,"73,040",20.46,24.77,31.89,41.29,53.41,"42,560","51,510","66,330","85,880","111,080",5.1,5.7,10.2,Master's degree,None,Life Scientists,Science
19-1042,"Medical Scientists, Except Epidemiologists",detailed,"104,280",43.38,"90,230",20.59,26.72,38.39,52.98,71.78,"42,830","55,580","79,840","110,200","149,310",103.1,116.8,13.3,Doctoral or professional degree,None,Life Scientists,Science
19-1099,"Life Scientists, All Other",detailed,"8,550",36.97,"76,900",20.23,24.87,32.18,44.58,60.44,"42,090","51,730","66,930","92,740","125,710",9.9,10.9,10.2,Bachelor's degree,None,Life Scientists,Science
19-2011,Astronomers,detailed,"1,750",53.09,"110,440",24.84,32.71,53.1,73.98,81.84,"51,670","68,030","110,450","153,870","170,230",2.7,2.9,10,Doctoral or professional degree,None,Physical Scientists,Science
